! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
C3H4dd   #allene                                                                                                                   UU           
AR0002   #mmc1HcHcHcHcHc1H                                                                                                         R             
AR0003   #mm-O2--O-CH(C1H(OH))CH(OO.)CdH=CdHC12H                                                                                   2.UOEE       
AR0004   #mmCHOC1H-O-C1HCdH=CdHCHO                                                                                                 UDDE        
AR0005   #mmc1HcHcHc(OH)cHc1H                                                                                                      RO             
AR0006   #mm-O2--O-CH(C1H(OH))CH(O.)CdH=CdHC12H                                                                                    1.UOEE          
AR0007   #mmC12H-O--O-CH(C1H(OH))CdH=CdHC2H(ONO2)                                                                                  NUOEE                    
AR0008   #mmC12H-O--O-CH(C1H(OH))CdH=CdHC2H(OOH)                                                                                   HUOEE                    
AR0009   #GLYOOA                                                                                                                                               
AR0010   #mmCHOC1H-O-C1HCHO                                                                                                        DDE                      
AR0011   #mmCHOCdH=CdHC1H-O-C1HCO(OO.)                                                                                             3.UDKE                    
AR0012   #mmCHOC1H-O-C1HCH(OO.)CH(OH)CHO                                                                                           2.DDOE                    
AR0013   #mmc1HcHcHc(O.)cHc1H                                                                                                      1.R                      
AR0014   #mm-O2--O-CH(C1H(OH))C(OH)(OO.)CdH=CdHC12H                                                                                2.UOOEE                    
AR0015   #mmc1HcHc(OH)c(OH)cHc1H                                                                                                   ROO                      
AR0016   #mm-O2--O-CH(C1H(ONO2))C(OH)(OO.)CdH=CdHC12H                                                                              2.NUOEE                    
FURON    #mm-O1-COCdH=CdHC1H2                                                                                                      UKE                      
AR0018   #mmC12H-O--O-CH(C1H(OH))CdH=CdHC2O                                                                                        UOEE                     
AR0019   #GLYOO                                                                                                                                                
AR0020   #mmCHOC1H-O-C1HCO(OO.)                                                                                                    2.DE                     
AR0021   #mmCO(OONO2)C1H-O-C1HCdH=CdHCHO                                                                                           PUDE                     
AR0022   #mmCO(OOH)C1H-O-C1HCdH=CdHCHO                                                                                             GUDE                     
AR0023   #mmCO(OH)C1H-O-C1HCdH=CdHCHO                                                                                              AUDE                     
AR0024   #mmCHOC1H-O-C1HCH(O.)CH(OH)CHO                                                                                            1.DDOE                    
AR0025   #mmCHOCH(OH)CH(ONO2)C1H-O-C1HCHO                                                                                          NDDOE                    
AR0026   #mmCHOCH(OH)CH(OOH)C1H-O-C1HCHO                                                                                           HDDOE                    
AR0027   #mmc1HcHc(OH)c(NO2)cHc1H                                                                                                  RVO                      
AR0028   #mmc1HcHcHc(OO.)cHc1H                                                                                                     2.R                      
AR0029   #mm-O2--O-CH(C1H(OH))C(OH)(O.)CdH=CdHC12H                                                                                 1.UOOEE                    
AR0030   #mmC12H-O--O-CH(C1H(OH))CdH=CdHC2(OH)(OOH)                                                                                HUOOEE                    
AR0031   #mmc1HcHc(OH)c(O.)cHc1H                                                                                                   1.RO                     
AR0032   #CATECOOA                                                                                                                 K                            
AR0033   #mm-O2--O-CH(C1H(ONO2))C(OH)(O.)CdH=CdHC12H                                                                               1.NUOEE                    
AR0034   #mmC12H-O--O-CH(C1H(ONO2))CdH=CdHC2(OH)(OOH)                                                                              HNUOEE                    
AR0035   #mmC1H2-O-COCH(OO.)C1H(OH)                                                                                                2.KOE                    
AR0036   #mmC1H(ONO2)CH(OO.)CO-O-C1H2                                                                                              2.NKE                    
AR0037   #BZFUONOOA                                                                                                                FB                            
AR0038   #mmCO(OONO2)C1H-O-C1HCHO                                                                                                  PDE                      
AR0039   #mmCO(OOH)C1H-O-C1HCHO                                                                                                    GDE                      
AR0040   #mmCO(OH)C1H-O-C1HCHO                                                                                                     ADE                      
AR0041   #mmCHOCH(OH)COC1H-O-C1HCHO                                                                                                DDKOE                    
AR0042   #mmc1HcHc(NO2)c(O.)cHc1H                                                                                                  1.RV                     
AR0043   #mmc1HcHcHc(OOH)cHc1H                                                                                                     RH                            
AR0044   #mmC1OCdH=CdHCOCdH=Cd1H                                                                                                   UUKK                     
AR0045   #mmc1Hc(OH)c(OH)cHc(NO2)c1H                                                                                               RVOO                     
AR0046   #mmc1HcHc(OH)c(OO.)cHc1H                                                                                                  2.RO                     
AR0047   #mmC1H2-O-COCH(O.)C1H(OH)                                                                                                 1.KOE                    
AR0048   #mmC1H(OH)CH(OOH)CO-O-C1H2                                                                                                HKOE                     
AR0049   #mmC1H(ONO2)CH(O.)CO-O-C1H2                                                                                               1.NKE                    
AR0050   #mmC1H(ONO2)CH(OOH)CO-O-C1H2                                                                                              HNKE                     
AR0051   #BZFUONOO                                                                                                                 FB                            
AR0052   #mmc1Hc(OH)c(NO2)cHc(NO2)c1H                                                                                              RVVO                     
AR0053   #mmc1HcHc(NO2)c(OO.)cHc1H                                                                                                 2.RV                     
AR0054   #mmC1OCdH=CdHCOCH(OO.)C1H(OH)                                                                                             2.UKKO                    
AR0055   #mmC1OCdH=CdHCOCH(OO.)C1H(ONO2)                                                                                           2.NUKK                    
AR0056   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(OH)C(OH)(OO.)C12H                                                                         2.UVOOOEE                    
AR0057   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(OH)C(OH)(OO.)C12H                                                                       2.NUVOOEE                    
AR0058   #mmc1HcHc(OH)c(OOH)cHc1H                                                                                                  RHO                      
AR0059   #mmC1OCH(ONO2)CO-O-C1H2                                                                                                   NKKE                     
AR0060   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(OO.)C12H                                                                        2.UVVOOEE                    
AR0061   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(OO.)C12H                                                                      2.NUVVOEE                    
AR0062   #mmc1HcHc(NO2)c(OOH)cHc1H                                                                                                 RHV                      
AR0063   #mmC1OCdH=CdHCOCH(O.)C1H(OH)                                                                                              1.UKKO                    
AR0064   #mmC1H(OH)CH(OOH)COCdH=CdHC1O                                                                                             HUKKO                     
AR0065   #mmC1OCdH=CdHCOCH(O.)C1H(ONO2)                                                                                            1.NUKK                    
AR0066   #mmC1H(ONO2)CH(OOH)COCdH=CdHC1O                                                                                           HNUKK                     
AR0067   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(OH)C(OH)(O.)C12H                                                                          1.UVOOOEE                    
AR0068   #mmC12H-O--O-C(NO2)(C1H(OH))CdH=Cd(OH)C2(OH)(OOH)                                                                         HUVOOOEE                    
AR0069   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(OH)C(OH)(O.)C12H                                                                        1.NUVOOEE                    
AR0070   #mmC12H-O--O-C(NO2)(C1H(ONO2))CdH=Cd(OH)C2(OH)(OOH)                                                                       HNUVOOEE                    
AR0071   #mmC1H(OH)COCO-O-C1H2                                                                                                     KKOE                     
AR0072   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(O.)C12H                                                                         1.UVVOOEE                    
AR0073   #mmC12H-O--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C2(OH)(OOH)                                                                        HUVVOOEE                    
AR0074   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(O.)C12H                                                                       1.NUVVOEE                    
AR0075   #mmC12H-O--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C2(OH)(OOH)                                                                      HNUVVOEE                    
AR0076   #mmC1H(OH)COCdH=CdHCOC1O                                                                                                  UKKKO                     
AR0077   #mmCO(OH)CdH=Cd(NO2)CHO                                                                                                   AUDV                     
AR0078   #mmCHOCd(NO2)=CdHCO(O.)                                                                                                   1.UDVK                    
MALAHY   #mm-O1-COCdH=CdHC1O                                                                                                       UKKE                      
AR0080   #mmC1O-O-COCH(OO.)C1H(OH)                                                                                                 2.KKOE                    
AR0081   #mmC1O-O-COCH(O.)C1H(OH)                                                                                                  1.KKOE                    
AR0082   #mmC1H(OH)CH(OOH)CO-O-C1O                                                                                                 HKOE                     
AR0083   #mmC1H(OH)CO-O-COC1O                                                                                                      KKKOE                     
AR0084   #mmc1HcHcHcHcHc1CH3                                                                                                       R                            
AR0085   #mmc1HcHcHcHcHc1CH2(OO.)                                                                                                  2.R                      
AR0086   #mm-O2--O-CH(C1H(OH))CH(OO.)CdH=CdHC12CH3                                                                                 2.UOEE                    
AR0087   #mmCH3COCdH=CdHC1H-O-C1HCHO                                                                                               UDKE                     
AR0088   #mmc1HcHcHcHc(OH)c1CH3                                                                                                    RO                            
AR0089   #mmc1HcHcHcHcHc1CH2(O.)                                                                                                   1.R                      
AR0090   #mmc1HcHcHcHcHc1CH2(ONO2)                                                                                                 RN                            
AR0091   #mmc1HcHcHcHcHc1CH2(OOH)                                                                                                  RH                            
AR0092   #mm-O2--O-CH(C1H(OH))CH(O.)CdH=CdHC12CH3                                                                                  1.UOEE                    
AR0093   #mm-O2--O-CH(C1H(OH))CH(ONO2)CdH=CdHC12CH3                                                                                NUOEE                    
AR0094   #mm-O2--O-CH(C1H(OH))CH(OOH)CdH=CdHC12CH3                                                                                 HUOEE                    
AR0095   #mmCH3COCdH=CdHC1H-O-C1HCO(OO.)                                                                                           3.UKKE                    
AR0096   #mmCH3COCH(OO.)CH(OH)C1H-O-C1HCHO                                                                                         2.DKOE                    
AR0097   #MGLOOB                                                                                                                   B                            
AR0098   #mmc1HcHcHcHc(O.)c1CH3                                                                                                    1.R                      
AR0099   #mm-O2--O-CH(C1H(OH))C(OH)(OO.)CdH=CdHC12CH3                                                                              2.UOOEE                    
AR0100   #mmc1HcHcHc(OH)c(OH)c1CH3                                                                                                 ROO                      
AR0101   #mm-O2--O-CH(C1H(ONO2))C(OH)(OO.)CdH=CdHC12CH3                                                                            2.NUOEE                    
AR0102   #mmc1HcHcHcHcHc1CHO                                                                                                       RD                            
MFUR     #mmC1H2-O-COCdH=Cd1CH3                                                                                                    UKE                      
AR0104   #mm-O2--O-CH(C1H(OH))COCdH=CdHC12CH3                                                                                      UKOEE                    
AR0105   #mmCH3COCdH=CdHC1H-O-C1HCO(OONO2)                                                                                         PUKE                     
AR0106   #mmCH3COCdH=CdHC1H-O-C1HCO(OOH)                                                                                           GUKE                     
AR0107   #mmCH3COCdH=CdHC1H-O-C1HCO(OH)                                                                                            AUKE                     
AR0108   #mmCH3COCH(O.)CH(OH)C1H-O-C1HCHO                                                                                          1.DKOE                    
AR0109   #mmCH3COCH(ONO2)CH(OH)C1H-O-C1HCHO                                                                                        NDKOE                    
AR0110   #mmCH3COCH(OOH)CH(OH)C1H-O-C1HCHO                                                                                         HDKOE                    
AR0111   #MGLOO                                                                                                                                                
AR0112   #mmc1HcHcHcHc(OO.)c1CH3                                                                                                   2.R                      
AR0113   #mmc1HcHcHc(NO2)c(OH)c1CH3                                                                                                RVO                      
AR0114   #mm-O2--O-CH(C1H(OH))C(OH)(O.)CdH=CdHC12CH3                                                                               1.UOOEE                    
AR0115   #mm-O2--O-CH(C1H(OH))C(OH)(OOH)CdH=CdHC12CH3                                                                              HUOOEE                    
AR0116   #mmc1HcHcHc(OH)c(O.)c1CH3                                                                                                 1.RO                     
AR0117   #MCATECOOA                                                                                                                K                            
AR0118   #mm-O2--O-CH(C1H(ONO2))C(OH)(O.)CdH=CdHC12CH3                                                                             1.NUOEE                    
AR0119   #mm-O2--O-CH(C1H(ONO2))C(OH)(OOH)CdH=CdHC12CH3                                                                            HNUOEE                    
AR0120   #mmc1HcHcHcHcHc1CO(OO.)                                                                                                   3.RK                     
AR0121   #mmC1H(OH)CH(OO.)CO-O-C1HCH3                                                                                              2.KOE                    
AR0122   #mmC1H(ONO2)CH(OO.)CO-O-C1HCH3                                                                                            2.NKE                    
AR0123   #TLFUONOOA                                                                                                                F                            
AR0124   #mmCH3COCOCH(OH)C1H-O-C1HCHO                                                                                              DKKOE                    
AR0125   #mmc1HcHcHcHc(OOH)c1CH3                                                                                                   RH                            
AR0126   #mmc1HcHcHc(NO2)c(O.)c1CH3                                                                                                1.RV                     
AR0127   #mmC1OCdH=CdHCOCdH=Cd1CH3                                                                                                 UUKK                     
AR0128   #mmc1HcHc(NO2)c(OH)c(OH)c1CH3                                                                                             RVOO                     
AR0129   #mmc1HcHcHc(OH)c(OO.)c1CH3                                                                                                2.RO                     
AR0130   #mmc1HcHcHcHcHc1CO(OONO2)                                                                                                 RP                            
AR0131   #mmc1HcHcHcHcHc1CO(OOH)                                                                                                   RG                            
AR0132   #mmc1HcHcHcHcHc1CO(OH)                                                                                                    RA                            
AR0133   #mmC1H(OH)CH(O.)CO-O-C1HCH3                                                                                               1.KOE                    
AR0134   #mmC1H(OH)CH(OOH)CO-O-C1HCH3                                                                                              HKOE                     
AR0135   #mmC1H(ONO2)CH(O.)CO-O-C1HCH3                                                                                             1.NKE                    
AR0136   #mmC1H(ONO2)CH(OOH)CO-O-C1HCH3                                                                                            HNKE                     
AR0137   #TLFUONOO                                                                                                                 F                            
AR0138   #mmc1Hc(NO2)cHc(NO2)c(OH)c1CH3                                                                                            RVVO                     
AR0139   #mmc1HcHcHc(NO2)c(OO.)c1CH3                                                                                               2.RV                     
AR0140   #mmC1OCH(OH)CH(OO.)COCdH=Cd1CH3                                                                                           2.UKKO                    
AR0141   #mmC1OCH(ONO2)CH(OO.)COCdH=Cd1CH3                                                                                         2.NUKK                    
AR0142   #mm-O2--O-CH(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH3                                                                       2.UVOOOEE                    
AR0143   #mm-O2--O-CH(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(OO.)C12CH3                                                                     2.NUVOOEE                    
AR0144   #mmc1HcHcHc(OH)c(OOH)c1CH3                                                                                                RHO                      
AR0145   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(OO.)C12CH3                                                                      2.UVVOOEE                    
AR0146   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(OO.)C12CH3                                                                    2.NUVVOEE                    
AR0147   #mmc1HcHcHc(NO2)c(OOH)c1CH3                                                                                               RHV                      
AR0148   #mmC1OCH(OH)CH(O.)COCdH=Cd1CH3                                                                                            1.UKKO                    
AR0149   #mmC1OCH(OH)CH(OOH)COCdH=Cd1CH3                                                                                           HUKKO                    
AR0150   #mmC1OCH(ONO2)CH(O.)COCdH=Cd1CH3                                                                                          1.NUKK                    
AR0151   #mmC1OCH(ONO2)CH(OOH)COCdH=Cd1CH3                                                                                         HNUKK                    
AR0152   #mm-O2--O-CH(C1H(OH))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH3                                                                        1.UVOOOEE                    
AR0153   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)CH(C1H(OH))-O--O-C12CH3                                                                       HUVOOOEE                    
AR0154   #mm-O2--O-CH(C1H(ONO2))Cd(NO2)=Cd(OH)C(OH)(O.)C12CH3                                                                      1.NUVOOEE                    
AR0155   #mmC2(OH)(OOH)Cd(OH)=Cd(NO2)CH(C1H(ONO2))-O--O-C12CH3                                                                     HNUVOOEE                    
AR0156   #mm-O2--O-C(NO2)(C1H(OH))CdH=Cd(NO2)C(OH)(O.)C12CH3                                                                       1.UVVOOEE                    
AR0157   #mmC2(OH)(OOH)Cd(NO2)=CdHC(NO2)(C1H(OH))-O--O-C12CH3                                                                      HUVVOOEE                    
AR0158   #mm-O2--O-C(NO2)(C1H(ONO2))CdH=Cd(NO2)C(OH)(O.)C12CH3                                                                     1.NUVVOEE                    
AR0159   #mmC2(OH)(OOH)Cd(NO2)=CdHC(NO2)(C1H(ONO2))-O--O-C12CH3                                                                    HNUVVOEE                    
AR0160   #mmC1OCH(OH)COCOCdH=Cd1CH3                                                                                                UKKKO                    
AR0161   #mmCH3Cd(CO(OH))=Cd(NO2)CHO                                                                                               AUDV                     
AR0162   #mmCHOCd(NO2)=Cd(CH3)CO(O.)                                                                                               1.UDVK                    
AR0163   #mmC1O-O-COCdH=Cd1CH3                                                                                                     UKKE                     
AR0164   #mmC1H(OH)CO-O-COC1(OO.)CH3                                                                                               2.KKOE                    
AR0165   #mmC1H(OH)CO-O-COC1(O.)CH3                                                                                                1.KKOE                    
AR0166   #mmC1H(OH)CO-O-COC1(OOH)CH3                                                                                               HKKOE                    
AR0167   #mmCH3c1cHcHcHcHc1CH3                                                                                                     R                            
AR0168   #mmCH3C12-O--O-CH(C2H(OH))CdH=CdHC1(OO.)CH3                                                                               2.UOEE                    
AR0169   #mmCH3C1(CHO)-O-C1(CH3)CdH=CdHCHO                                                                                         UDDE                     
AR0170   #mmCH3c1cHcHcHc(OH)c1CH3                                                                                                  RO                            
AR0171   #mmCH3c1cHcHcHcHc1CH2(OO.)                                                                                                2.R                      
AR0172   #mmCH3C12-O--O-CH(C2H(OH))CdH=CdHC1(O.)CH3                                                                                1.UOEE                    
AR0173   #mmCH3C12-O--O-CH(C2H(OH))CdH=CdHC1(ONO2)CH3                                                                              NUOEE                    
AR0174   #mmCH3C12-O--O-CH(C2H(OH))CdH=CdHC1(OOH)CH3                                                                               HUOEE                    
AR0175   #mmCH3C1(CHO)-O-C1(CH3)CHO                                                                                                DDE                      
