    3366  ! number of record (species) in the file
GTK600E   249.66
GTN600O   322.30
GTH600v   266.46
GTH600t   279.62
GTN600L   281.01
GTK600D   250.35
GTN600X   397.52
GTH601O   331.73
GTH600s   327.28
GTH601N   276.70
GTH600n   271.72
GTN600Z   351.14
GTN600K   346.16
GTH601J   298.15
GTN600E   316.66
GTH600I   249.66
GTK6008   228.70
GTH601M   281.15
GTH601L   374.33
GTH601I   335.76
GTH601K   410.21
GTH601G   377.72
GTH601H   339.44
GTH600r   370.66
GTH600l   331.73
GTH600m   276.70
GTH600W   249.10
GTN600F   251.86
GTK6009   228.01
GTH600p   291.22
GTN6007   242.43
GTH600N   265.89
GTH6009   227.44
GTO6001   196.92
GTN6005   242.43
GTH6006   227.44
GTK6002   197.48
GTK6004   197.48
GTN600C   273.31
GTN600c   370.66
GTN600N   366.63
GTN600U   381.89
GTN600b   407.07
GTN600a   440.40
GTN600M   403.69
GTN600W   437.83
GTN600J   393.50
GTN600T   433.49
GTH600f   293.17
GTN600D   362.18
GTH600u   266.07
GTH600T   259.56
GTH600S   322.30
GTH600L   266.07
GTH6007   251.86
GTH600G   281.01
GTH600k   281.01
GTN6004   310.15
GTH6004   251.86
GTN600B   340.52
GTN600H   376.91
GTH600j   281.01
GTH6019   314.39
GTH600o   301.27
GTH6017   310.71
GTH600d   293.17
GTH600M   279.62
GTH6005   249.10
GTH600Q   266.46
GTH600Z   280.87
GTO6004   227.44
GTO6003   196.92
GTN6009   242.43
GTH600C   227.44
GTO6002   196.92
GTK6006   197.48
GTN6008   310.15
GTH600A   251.86
GTN6006   310.15
GTH600O   279.62
GTH600B   249.10
GTH600J   266.46
GTH6008   249.10
GTO6000   144.74
GTN6000   230.27
GTH6000   196.92
GT06000    78.92
GTK6000   145.31
GTN6003   263.88
GTH6003   228.01
GTH600F   250.35
GTK6003   198.17
GTK6005   198.17
GTK600H   268.04
GTK600C   251.24
GTN600P   376.91
GTN600Q   425.24
GTH6013   302.53
GTH600b   280.87
GTH600R   266.46
GTH600x   293.37
GTN6002   263.88
GTN600A   300.18
GTH600i   280.18
GTH600K   266.46
GTH6002   228.01
GTH600D   250.35
GTH600P   250.35
GTN6001   263.88
GTH6001   228.01
GTK6001   198.17
GTH600E   250.35
GTK6007   229.59
GTK600A   229.59
GTH600q   250.35
GTH6011   268.04
GTH600U   250.35
GTK600G   269.30
GTK600B   252.50
GTK600F   271.45
GTH600e   287.53
GTH6018   301.84
GTH6014   292.48
GTN600Y   314.39
GTH601F   280.87
GTN600S   350.37
GTH600z   281.77
GTN600I   307.88
GTH600a   267.15
GTH601E   355.59
GTH601C   401.20
GTH601D   359.62
GTH600c   351.14
GTH6016   302.60
GTH6012   325.02
GTH601B   320.04
GTH601A   386.34
GTH600w   356.01
GTH600Y   314.39
GTH600g   314.39
GTH600h   291.79
GTH600H   266.46
GTH6015   280.87
GTN600G   343.85
GTH600X   268.04
GTN600R   404.98
GTH600y   283.02
GHN300N   506.42
GHN300W   488.66
GHN3005   411.22
GND3004   464.96
GGN3006   488.66
GPN3006   590.13
GHN300G   488.66
GND3006   591.25
GHD300C   366.95
GPH300S   507.05
GHN300X   488.66
GPH300P   605.16
GHH300W   379.66
GGH300E   400.36
GPH300Q   514.90
GHD3006   351.93
GGH300B   379.66
GPH300C   498.37
GHD2002   461.90
GGH2003   497.52
GPH2003   677.84
GHD300B   450.67
GPH300R   620.64
GHN300P   422.22
GHD300A   366.95
GHV2002   361.16
GNV3002   398.51
GHV3001   296.79
GDV3001   333.54
GGV3001   366.95
GPV3001   488.66
GDV2001   438.27
GAV2001   461.90
GGV2001   481.20
GPV2001   665.37
